title,artist,year,medium,description,artist_bio,location,period,provenance,image_url,source_url
Ben Enwonwu and Queen Elizabeth II,Ben Enwonwu,1956,,,,"London, United Kingdom",,,https://lh3.googleusercontent.com/ci/AL18g_RF56mQVpTiORqOIM-XUSyoGfCGYNqLVNCe793JgYScMyGkWcOqAqKCEmErL-anKQeKzNrRwA=x0-y0-z0-nt0X2bFTJyOHV3gHbwlHocIz_Zqx7c,https://artsandculture.google.com/asset/ben-enwonwu-and-queen-elizabeth-ii/vgFT3W5BCIZ7ag
Untitled,Gbenga Offo,1996,Acrylic on Canvas,,"Gbenga Offo is a renowned contemporary Nigerian painter. He studied at Yaba College of Technology and is known for his expressive works depicting Nigerian culture and traditions. Offo’s art has been exhibited internationally, and his works are widely appreciated for their unique style. In this paintin, a serene yet chaotic cluster of houses and trees under a dusty brown sky. The blend of colors and the calm evoked by the hazy environment reflect Offo’s ability to depict nature with a sense of tranquility.",,Painting,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_Sb15Qn-O5f1Pa_kNl1_r7c9Ow78HpP1jzfg2FCHGraVyMe5PwTLmtfY-uuSapl2V56Qs8u=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/untitled/6QHyq52vgZ47gg
The King's Court,Tony Archibong,,Acrylic on Canvas,,"Tony Archibong is a Nigerian artist whose works are inspired by history and culture. He is known for his detailed depictions of Nigerian traditions and rituals, often highlighting the power and authority of traditional rulers. In The King’s Court, Archibong depicts a royal scene with a king holding a fan and staff. Musicians with traditional instruments flank him, while an adviser whispers in his ear. The background features traditional adire patterns, adding a cultural layer to the painting.",,Painting,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_QbeJzN6HKtQniE5ItbEd_-F1wL45jnWt8Uwdsu3_NuWgjV2X9vqsHyfR8mU1LQwC-JAs2j=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/the-king-s-court/DwGlQYFoqpw3wQ
Jagunjagun (I),Lamidi Fakeye,2007,Wood,,"Lamidi Fakeye depicting a mounted horse hunter-warrior with a gun on his right hand. The artist shows his high level of mastery in the expression of the formal compositions of this sculpture. The saddle is spread across the horse’s back and is curved in a U-shape, providing an anchor for the standing rider’s servant at the back and a surface for the artist to display the rather large horse ears. One sees Fakeye’s great attention to detail in his ability to capture the basic features of a typical horse tack including the halter, stirrup, saddle, bit, bridle and the rein controlled by the rider. A bird can be noticed with its beak pointing down on the rider’s head. The general surface ornamentation of the forms is filled with intricate lines and patterns for aesthetic appreciation. The equestrian statue is very symbolic in the depiction of an Oba and his ase, inner strength as a ruler in traditional Yoruba mythology. Thus, it is synonymous with royal court art of the Yoruba people and is commonly found as verandah posts in palaces. It is also significant in traditional worship and is commonly found in local shrines of the people.",Nigeria,Sculpture,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_TFcI9pnsi8US2cvt4IzgtfCaOBh9lBJv9Ex3PZ_Y6swWW2wG9-T6Opj7qoH1XzjPmkoJ0ZrC0=x0-y0-z0-nt0uirqynkixASAZ18Cq72uKElvyFg,https://artsandculture.google.com/asset/jagunjagun-i/cAHjyb0fxUn5rg
Tuaregs,David Dale,1997/2019,Print,"Tuaregs, Dale depicts the life of the Tuareg people, a nomadic group residing in the central and western Sahara and along the middle Niger, from Timbuktu to Nigeria. The painting features three men mounted on camels, traveling across the desert. Dale employs a careful selection of colors and shades to evoke the harsh, sunlit landscape of the Sahara. His attention to the details of the Tuaregs’ traditional attire and the camels they ride reflects his focus on realism and cultural representation. The work conveys both the isolation and resilience of desert life, encapsulating the nomadic spirit of the Tuareg people.","David Dale (1947–2019) was a versatile Nigerian artist celebrated for his diverse work across beads, watercolors, etching, and more. Born to a British father and a Nigerian mother, Dale returned to Nigeria to pursue his education at St. Gregory’s College, where he drew inspiration from the renowned artist Bruce Onobrakpeya. After earning his degree from Ahmadu Bello University in 1971, Dale worked with Onobrakpeya before establishing his own studio. Known for his minimalist style, Dale’s art captured the vibrant essence of Lagos urban life through various mediums, including lino engraving and stained glass. His works are displayed in homes, churches, and institutions across Lagos, solidifying his influence on the Nigerian art landscape. Dale passed away in 2019, leaving behind a rich legacy. In",,Painting,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_S6Pv73G4zLv2Z3uP7leua2ctolk-JCtLYc9X5YhOHyW2DNDLKl5rOoiuU67M9wGpH0A1tC7A=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/tuaregs/-QHvD9fAmbH-Nw
Untitled,Nike Davies Okundaye,2003,Acrylic on Canvas,,"Nike Davies Okundaye, born on May 23, 1951, grew up in Ogidi, Kogi State, where she learned traditional weaving and dyeing practices. Her family was deeply involved in adire production, and she has since become a master of the craft. Her work celebrates her Yoruba heritage through textile and fabric arts. This artwork features a diverse composition of forms, including a woman and masks, with adire patterns serving as a backdrop. The piece pays homage to Yoruba textile traditions.",,Painting,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_S6Pv73G4zLv2Z3uP7leua2ctolk-JCtLYc9X5YhOHyW2DNDLKl5rOoiuU67M9wGpH0A1tC7A=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/untitled/ugG2WMBoOmDDKA
The Conflict (After Achebe),Uche Okeke,1965,Oil on Board,"The Conflict (After Achebe) is an illustration of a scene from the book Things Fall Apart by Chinua Achebe. In Achebe’s story, after the convert, Enoch unmasked an Egwugwu — one of the nine masquerades representing the ancestral spirits of the nine villages of Umuofia — the Egwugwu burnt Enoch’s compound. In the book Achebe says “the band of Egwugwu moved like a furious whirlwind to Enoch’s compound and with machetes and fire reduced it to a desolate heap”. Achebe continues, “And from there they made for the church, intoxicated with destruction … Mr. Smith was in his church when he heard the masked spirits coming … he walked towards the approaching spirits ... Discordant bells clanged, machetes clashed, and the air was full of dust and weird sounds … For a brief moment the onrush of the egwugwu was checked by the unexpected composure of the two men. But it was only a momentary check, like the tense silence between blasts of thunder. The second onrush was greater than the first. It swallowed up the two men.”","Uche Okeke was born in 1933 in Nimo, Anambra State Eastern Nigeria. At an early age, Okeke became acquainted with traditional Igbo folklore and traditions at home and school. His ardent love for the arts can be traced to his mother who was skillful in ""uli""- a form of body and wall painting popular among the Igbos of Eastern Nigeria. He studied Fine arts at the Nigerian College of Arts, Science and Technology (NCAST), Zaria. While in NCAST, Okeke founded the Zaria Art Society alongside other undergraduate art students. Together, they embarked on a retrospective tour of their indigenous cultures to fuse local content with western techniques. He died in his hometown, Nimo in 2016 after a brief illness.",Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_Sb15Qn-O5f1Pa_kNl1_r7c9Ow78HpP1jzfg2FCHGraVyMe5PwTLmtfY-uuSapl2V56Qs8u=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/the-conflict-after-achebe/1wGrEb7w3eaAtg
Untitled,Jimoh Buraimoh,2012,Beads and Oil on board,,"Jimoh Buraimoh is one of the most prominent artists to have emerged from the renowned Oshogbo Art workshops, which he attended in the early 1960s under the guidance of Ulli and Georgina Beier. Born in 1943, Buraimoh is especially known for his distinctive beadwork, which merges traditional craftsmanship with modern artistic expression. His bead art is celebrated for its painterly quality, achieved by skillfully blending hues to create vibrant pictorial representations. In this untitled work, Buraimoh uses a striking combination of colorful beads—yellow, blue, green, red, and white—to form fantastical figures, animals, and mythical creatures. The faces of these beings are oval, with askew triangular ears, slit-like eyes, and semi-circle lips. One figure, with a fierce expression, appears to be attacking another creature resembling a bird. The imaginative, almost surreal composition exemplifies Buraimoh's ability to bring wild, dreamlike visions to life through the intricate use of shapes and beads.",,Painting,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_Sb15Qn-O5f1Pa_kNl1_r7c9Ow78HpP1jzfg2FCHGraVyMe5PwTLmtfY-uuSapl2V56Qs8u=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/untitled/6wEyahdpwP_bjQ
What is the effect of Colonization,Joy Labinjo,2021,Oil on Canvas,,,"London, England",Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_TKbuUelfurRM0lYwUOubECMpQIg4jBdva8xynm3DiR1FF061qL_o5wPhB8eCZeJRxuyP6mgq0=x0-y0-z0-nt0A_O_RrCxH3fmtmAyKAcX9Wsl5Og,https://artsandculture.google.com/asset/what-is-the-effect-of-colonization/OgHbe-aVnJzQeA
Ali Maigoro (7/10),Abayomi Barber,2011,Bronze,,"Abayomi Barber was one of Nigeria’s most significant modern artist and teacher famous for his hyperealistic paintings and sculptures. He started his artistic career, first as a sculptor, at a very early age as a student inspired by the bronze sculptures he saw in the shrines of Ife on school excursions and visits and in the royal palace of his uncle, Oba Adesoji Aderemi, the then Ooni of Ife. He became interested in learning and exploring how they were made and was largely self-thought early on as an artist. During the coronation ceremony of his uncle in 1957 he gifted a portrait which won the heart of the iconic nationalist, Obafemi Awolowo. This won him a unique scholarship from the Western Regional Government to study at the Central School of Arts and Crafts in London, UK, where he lived from 1961 to 1971. The idea and inspiration for Ali Maigoro first came in the early 60’s, during Barber’s stay in London. Having spent some time away he became homesick, missing and fantasizing a lot of things about his homeland: the peace, the warmth, the quiet and simple life, the friendly people etc. His solution was to invent a sculpture that captured these feelings. This became Ali Maigoro (a name he invented) – a depiction of a friendly old northern man with the missing teeth and a warm smile that brought joy to him in his apartment in London. The sculpture became for him a symbol of the Nigeria he missed so much and has kept spreading its warmth to lovers for decades. Barber went on to make several versions of it over the years. The present one in the collection of the Yemisi Shyllon Museum of Art is the 7th in a series of 10 replicas he created in 2011.",Nigeria,Sculpture,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_Tg75uwaOLn0hUTkSy1IBPt1Z1BSDtA05l_18oKcoPFPB18aENOPKFG3HYo3LAEhebeiBEQ=x0-y0-z0-nt0ZURUllbYtIYVw2RigPu0Y6bkxVY,https://artsandculture.google.com/asset/ali-maigoro-7-10/JQEKRMfoR4zsPA
The Drummer,Ben Enwonwu,,Bronze,"The Drummer was first commissioned and completed in 1978 for the Nigerian Telecommunications (NITEL) headquarters in Lagos and has been there ever since. As part of the initial development process of his works, Ben Enwonwu was known for experimenting with sketches of his final works in his studio. The rendition of the final piece was much easier and faster once the details of his imagination had been primarily defined. Thus, sketches and miniatures were very important to him as an artist. This miniature of The Drummer is in the permanent collection of the Yemisi Shyllon Museum of Art and is currently on display at the exhibition “Mirroring Man: Society and Politics in Nigerian Art”, the museum’s maiden exhibition on Nigeria’s art history and the role the nation’s artists have played in shaping the history and identity of their country through art.","Considered one of Enwonwu’s famous public works in bronze,","Lagos, Nigeria",,,https://lh3.googleusercontent.com/ci/AL18g_QDaXROHQhlVGp9tnfv8Mtysv9I9LeK-Gd2eLdOKrr4kcbpZT98x756QmkfjcIB2hGXxw_n4WQ=x0-y0-z0-nt0doTTdJKRl0Jv2gmw3WzYhAZW2II,https://artsandculture.google.com/asset/the-drummer/EwFAsWx8LJjMVg
Safe Journey,David Dale,1997,Metal Foil Etching,Safe Journey depicts an overloaded truck with passengers and luggage. This is the typical way people travel in some developing countries.,"Born in 1947 to a British father and Nigerian mother, Dale moved to the United Kingdom at the age of two to live with an aunt. Nearly two decades later, he returned to Nigeria to finish his Secondary education at St. Gregory's college, Lagos. While he was in secondary school, he met Bruce Onobrakpeya who encouraged him to pursue a career in art. Following in the steps of his mentor (Bruce Onobrakpeya), many of his early works were done in Linographs and foil.",Nigeria,Etching,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_SwfjXT3RGvz_usLg6Wb0LrLhrgTSJ65R7emyps4TMgatgXN7ydfHIEqdeQvXkblw67JEHjmR4=x0-y0-z0-nt0_CBJ8nG1my4WQakMamzjmclNWtE,https://artsandculture.google.com/asset/safe-journey/rgGHFXYxyOAdNg
